Variable,(1) OLS,(1) OLS_se,(2) TWFE,(2) TWFE_se,(3) TWFE+H2,(3) TWFE+H2_se
leverage,-0.2106***,(0.0464),-0.2629***,(0.0887),-0.3481,(0.2180)
lev_x_size,,,,,0.0147,(0.0280)
ln_at,0.0299***,(0.0017),0.1074***,(0.0257),0.1058***,(0.0264)
rd_intensity,-1.0410***,(0.0853),-0.9200***,(0.1812),-0.9252***,(0.1818)
capx_intensity,0.3548***,(0.0913),-0.0445,(0.1376),-0.0510,(0.1361)
cash_ratio,0.0653**,(0.0259),0.1378***,(0.0512),0.1379***,(0.0512)
ebitda_margin,0.0246***,(0.0017),0.0149***,(0.0028),0.0148***,(0.0027)
Firm FE,No,,Yes,,Yes,
Year FE,No,,Yes,,Yes,
Clustered SE,No,,Yes,,Yes,
N,"2,713",,"2,713",,"2,713",
R²,0.492,,0.260,,0.261,
